HudongItem1,relation,HudongItem2
大丁,country of citizenship,中华人民共和国
乌克兰,diplomatic relation,新加坡
Berlin,sister city,布鲁塞尔
电子工业,subclass of,产业
神曲,genre,叙事诗
白条沙蜥,taxon rank,种
溢洪道,part of,水坝
Robinson,language of work or name,英语
大丁,father,商汤
乌克兰,diplomatic relation,斯洛伐克
Berlin,shares border with,勃兰登堡
Robinson,writing system,拉丁文字
780年,follows,779年
Michele,writing system,拉丁文字
Michele,family name identical to this given name,Michele
乌克兰,diplomatic relation,菲律宾
拉瓦锡,member of,法国科学院
乌克兰,diplomatic relation,芬兰
Michele,opposite of,Michele
大丁,family,商朝
乌克兰,diplomatic relation,法国
Michele,different from,Michele
达姆施塔特,country,德国
Michele,said to be the same as,迈克尔
乌克兰,diplomatic relation,瑞典
拉瓦锡,award received,金牌
乌克兰,diplomatic relation,日本
马绍尔群岛,diplomatic relation,美国
马绍尔群岛,member of,联合国
乌克兰,diplomatic relation,印度尼西亚
乌克兰,member of,联合国
拉瓦锡,religion,天主教
马绍尔群岛,language used,英语
神曲,country of origin,意大利
唐徕渠,country,中华人民共和国
醚,subclass of,有机化合物
大天鹅,taxon rank,种
鼋,taxon rank,种
蓝花楹,taxon rank,种
醚,subclass of,化合物
熊果苷,instance of,糖类
一氧化二氮,instance of,化合物
立秋,instance of,节气
EEC,instance of,组织
大天鹅,parent taxon,Cygnus
达姆施塔特,sister city,格拉茨
熊果苷,instance of,化合物
猕猴桃科,taxon rank,科
豫园,country,中华人民共和国
立秋,follows,大暑
Canola,country of origin,大韩民国
虾衣花,taxon rank,种
熊果苷,has part,氧
一氧化二氮,subclass of,氮氧化物
猕猴桃科,parent taxon,山茶目
熊果苷,has part,碳
Canola,director,Chang
EEC,followed by,欧洲共同体
Canola,screenwriter,Chang
一氧化二氮,medical condition treated,梗塞
EEC,headquarters location,布鲁塞尔
Canola,color,彩色
猕猴桃科,has fruit type,蒴果
猕猴桃科,has fruit type,浆果
一氧化二氮,has part,氧
猕猴桃科,has part,鞣质
神曲,characters,亚里士多德
神曲,characters,比德
硝酸铅,instance of,化合物
萼距花,taxon rank,种
慧,facet of,佛教
印第安纳州,official language,英语
酸果,taxon rank,种
Marine,instance of,海军
印第安纳州,country,美国
酸果,parent taxon,杧果属
硝酸铅,has part,氮
乌克兰,ethnic group,犹太人
德鲁,country,法国
勿忘草,taxon rank,种
Pilobolus,taxon rank,属
硝酸铅,has part,氧
脉经,instance of,图书
Bf,instance of,基因
Marine,country,德国
UL,country,德国
印第安纳州,located in the administrative territorial entity,美国
硝酸铅,has part,铅
艺术风格,opposite of,艺术形式
卡塔尔,instance of,酋长国
Bf,found in taxon,智人
印第安纳州,located in or next to body of water,俄亥俄河
卡塔尔,instance of,国家
神曲,characters,维吉尔
印第安纳州,deepest point,俄亥俄河
卡塔尔,continent,亚洲
卡塔尔,country,卡塔尔
神曲,characters,盖伦
卡塔尔,located on terrain feature,中东
马绍尔群岛,currency,美元
乌克兰,contains administrative territorial entity,基辅州
卡塔尔,deepest point,波斯湾
神曲,characters,希波克拉底
神曲,characters,荷马
卡塔尔,diplomatic relation,加拿大
卡塔尔,diplomatic relation,澳大利亚
卡塔尔,diplomatic relation,叙利亚
湘潭县,instance of,县
1816年,instance of,年
氯化碘,instance of,化合物
福布斯,instance of,杂志
卡塔尔,diplomatic relation,以色列
OAC,manager/director,主管
湘潭县,country,中华人民共和国
1816年,instance of,闰年
福布斯,industry,新闻
MO,named after,密苏里河
卡塔尔,diplomatic relation,菲律宾
乌孜别克族,instance of,族群
保安族,instance of,族群
OAC,country,意大利
埃希,country,瑞士
湘潭县,country,匈牙利
氯化碘,has part,碘
MO,country,美国
卡塔尔,diplomatic relation,沙特阿拉伯
耿寿昌,sex or gender,男性
海子,sex or gender,男性
孙云铸,sex or gender,男性
忍冬科,taxon rank,科
薯豆,taxon rank,种
OAC,located in the administrative territorial entity,那不勒斯
1816年,follows,1815年
氯化碘,has part,氯
福布斯,country,美国
卡塔尔,diplomatic relation,阿根廷
海子,country of citizenship,中华人民共和国
孙云铸,country of citizenship,中华人民共和国
忍冬科,parent taxon,茜草目
薯豆,parent taxon,杜英属
1816年,followed by,1817年
福布斯,main subject,经济学
MO,located in the administrative territorial entity,美国
海子,place of birth,怀宁县
乌孜别克族,country,阿富汗
孙云铸,family name,孙
卡塔尔,diplomatic relation,孟加拉国
福布斯,country of origin,美国
卡塔尔,diplomatic relation,格鲁吉亚
福布斯,language of work or name,英语
卡塔尔,member of,联合国
乌克兰,shares border with,白俄罗斯
海子,occupation,诗人
乌孜别克族,country,哈萨克斯坦
福布斯,headquarters location,纽约
乌克兰,shares border with,波兰
海子,educated at,北京大学
乌孜别克族,country,俄罗斯
孙云铸,educated at,北京大学
乌克兰,shares border with,斯洛伐克
孙云铸,member of political party,九三学社
忍冬科,taxon synonym,败酱科
福布斯,different from,Forbes
乌克兰,shares border with,匈牙利
乌孜别克族,country,土耳其
忍冬科,has fruit type,核果
乌孜别克族,country,巴基斯坦
忍冬科,has fruit type,浆果
乌孜别克族,country,美国
乌克兰,shares border with,俄罗斯
乌孜别克族,country,乌克兰
乌孜别克族,country,中华人民共和国
乌孜别克族,country,瑞典
乌孜别克族,country,白俄罗斯
乌孜别克族,country,蒙古国
乌孜别克族,religion,伊斯兰教
way,subclass of,过程
PDI,instance of,基因
minus,instance of,基因
Miu,instance of,语言
way,different from,资源
minus,found in taxon,黑腹果蝇
建制,subclass of,组织
旌德县,instance of,县
孔庙,subclass of,神庙
way,said to be the same as,technique
PDI,found in taxon,智人
山黄麻,taxon rank,种
旅人蕉,taxon rank,种
长尾林鸮,taxon rank,种
Snyder,sex or gender,男性
旌德县,country,中华人民共和国
山黄麻,parent taxon,山黄麻属
建制,said to be the same as,社会组织
旅人蕉,has fruit type,蒴果
Snyder,place of birth,安特卫普
乌克兰,emergency phone number,103
Snyder,place of death,安特卫普
卡塔尔,shares border with,沙特阿拉伯
Snyder,work location,安特卫普
Snyder,work location,罗马
Snyder,work location,安特卫普
Snyder,work location,布雷达
神曲,characters,亚历山大大帝
仲钼酸铵,instance of,化合物
总章,instance of,年号
1860年,instance of,年
新城县,instance of,县
神曲,characters,穆罕默德
仲钼酸铵,has part,氮
空肠,part of,小肠
1860年,instance of,闰年
山皇鸠,taxon rank,种
新城县,country,中华人民共和国
Henry,part of,Henry
公历,instance of,历法
睢宁县,instance of,县
遗传工程,subclass of,生物工程学
空肠,follows,十二指肠
Henry,language of work or name,英语
睢宁县,country,中华人民共和国
李榄,taxon rank,种
仲钼酸铵,has part,钼
空肠,followed by,回肠
1860年,follows,1859年
生物化学杂志,instance of,科学期刊
BBA,instance of,学位
仪征县,instance of,县
睢宁县,located in the administrative territorial entity,徐州市
拉格什,country,伊拉克
1860年,followed by,1861年
Henry,writing system,拉丁文字
生物化学杂志,field of work,生物化学
赤眼鳟,taxon rank,种
姬氏,writing system,汉字
滇杨,taxon rank,种
睢宁县,replaces,睢宁县
空肠,connects with,十二指肠
尸僵,instance of,分解作用
枕骨,instance of,骨骼
寿光,instance of,年号
Tempeh,country,印度尼西亚
生物化学杂志,field of work,分子生物学
滇杨,parent taxon,杨属
杖,country of origin,美国
空肠,connects with,回肠
Henry,family name identical to this given name,Henry
紫金鹃,taxon rank,种
燕子,taxon rank,科
滇杨,has fruit type,蒴果
杖,original language of work,英语
Henry,different from,亨利
1404年,instance of,年
中心村,instance of,村
Picket,instance of,姓氏
尸僵,followed by,尸斑
枕骨,subclass of,骨骼
燕子,parent taxon,雀形目
生物化学杂志,country of origin,美国
zeta,part of,希腊字母
高丽参,taxon rank,种
中心村,country,中华人民共和国
Picket,writing system,拉丁文字
Mm,measured physical quantity,长度
枕骨,part of,颅骨
生物化学杂志,language of work or name,英语
RPG,subclass of,游戏
抽水蓄能电站,subclass of,水电站
威宁县,instance of,自治县
茨淮新河,instance of,流水
1404年,follows,1403年
Picket,different from,Picket
燕子,Code of nomenclature,国际动物命名法规
Radix,taxon rank,属
威宁县,country,中华人民共和国
1404年,followed by,1405年
枕骨,anatomical location,颅骨
阿尔巴尼亚,instance of,国家
heat,different from,热能
阿尔巴尼亚,instance of,共和制
Henry,said to be the same as,海因茨
Scheme,influenced by,ALGOL
睢宁县,contains administrative territorial entity,古邳镇
Scheme,has dialect,T
阿尔巴尼亚,continent,欧洲
神曲,characters,托勒密
阿尔巴尼亚,country,阿尔巴尼亚
阿尔巴尼亚,located in or next to body of water,亚得里亚海
阿尔巴尼亚,located on terrain feature,巴尔干半岛
阿尔巴尼亚,deepest point,亚得里亚海
神曲,characters,苏格拉底
阿尔巴尼亚,diplomatic relation,美国
杖,narrative location,加利福尼亚州
阿尔巴尼亚,diplomatic relation,德国
杖,narrative location,洛杉矶
Henry,said to be the same as,Harold
Ixia,taxon rank,属
神秘果,taxon rank,种
红胸田鸡,taxon rank,种
黎豆属,taxon rank,属
大叶蔷薇,taxon rank,种
乙酰辅酶A,instance of,化合物
阿尔巴尼亚,diplomatic relation,意大利
印第安纳州,shares border with,伊利诺伊州
乌蒙山,instance of,山脉
大麻,instance of,药物
漕运总督,subclass of,总督
VSD,instance of,疾病
林地,instance of,城市
Ixia,parent taxon,鸢尾科
黎豆属,parent taxon,豆科
大叶蔷薇,parent taxon,蔷薇属
乙酰辅酶A,has part,硫
阿尔巴尼亚,diplomatic relation,法国
杖,color,彩色
印第安纳州,shares border with,俄亥俄州
明,named after,明朝
乌蒙山,country,中华人民共和国
林地,country,美国
乙酰辅酶A,has part,碳
阿尔巴尼亚,diplomatic relation,阿富汗
印第安纳州,shares border with,肯塔基州
墨江哈尼族自治县,instance of,自治县
大兴安岭地区,country,中华人民共和国
Ixia,different from,Ixia
阿尔巴尼亚,diplomatic relation,乌克兰
墨江哈尼族自治县,country,中华人民共和国
邻居,based on,邻居
冰后期,instance of,series
中沙洲,country,中华人民共和国
大麻,route of administration,熏
大兴安岭地区,located in the administrative territorial entity,黑龙江省
乙酰辅酶A,has part,氧
阿尔巴尼亚,diplomatic relation,巴勒斯坦
乙酰辅酶A,has part,氮
邻居,country of origin,大韩民国
阿尔巴尼亚,diplomatic relation,英国
大兴安岭地区,contains administrative territorial entity,新林区
大麻,natural product of taxon,大麻
阿尔巴尼亚,diplomatic relation,格鲁吉亚
阿尔巴尼亚,diplomatic relation,丹麦
Henry,said to be the same as,Erik
阿尔巴尼亚,diplomatic relation,土耳其
冰后期,has part,青铜时代
阿尔巴尼亚,diplomatic relation,巴基斯坦
邻居,color,彩色
阿尔巴尼亚,diplomatic relation,塞尔维亚
阿尔巴尼亚,diplomatic relation,俄罗斯
阿尔巴尼亚,diplomatic relation,日本
神曲,characters,凯撒
阿尔巴尼亚,diplomatic relation,希腊
阿尔巴尼亚,diplomatic relation,中华人民共和国
阿尔巴尼亚,member of,联合国
937年,instance of,年
101年,instance of,年
包,instance of,姓氏
角鲸,taxon rank,种
莳萝,taxon rank,种
徒骇河,instance of,流水
失效率,subclass of,函数
摩奴法典,instance of,文学作品
松油,instance of,化学物质
101年,follows,100年
失效率,part of,可靠度
厚壁菌门,taxon rank,门
松油,instance of,精油
Fuji,country,日本
101年,followed by,102年
黄土高原,instance of,高原
水杨酸甲酯,instance of,酯
腺瘤,instance of,疾病
失效率,domain,时间
厚壁菌门,taxon rank,门
黄土高原,country,中华人民共和国
水杨酸甲酯,instance of,化合物
失效率,codomain,失效率
行政法规,subclass of,法律
华沙大学,country,波兰
腺瘤,health specialty,肿瘤学
醉蝶花,taxon rank,种
山口县,part of,中国地方
大百合,taxon rank,种
杜布赞斯基,sex or gender,男性
红千层属,taxon rank,属
蔗茅属,taxon rank,属
行政法规,part of,政治
土壤杆菌属,taxon rank,属
土壤杆菌属,parent taxon,根瘤菌科
山口县,country,日本
杜布赞斯基,country of citizenship,苏联
土壤杆菌属,Gram staining,革兰氏阴性菌
杜布赞斯基,country of citizenship,美国
山口县,located in the administrative territorial entity,日本
华沙大学,headquarters location,华沙
杜布赞斯基,languages spoken written or signed,英语
MO,contains administrative territorial entity,圣路易斯
耳骨,instance of,骨骼
阿尔巴尼亚,ethnic group,马其顿人
Psylla,taxon rank,属
耳骨,part of,中耳
新村,country,大韩民国
衣蛾,taxon rank,科
Alexis,language of work or name,法语
叙利亚,instance of,国家
子牙河,instance of,河流
金鱼池,country,中华人民共和国
耳骨,anatomical location,鼓室
Alexis,language of work or name,英语
阿尔巴尼亚,ethnic group,埃及人
百年好合,country of origin,香港
子牙河,mouth of the watercourse,海河
紫花针茅,taxon rank,种
耳骨,use,听觉
Alexis,writing system,拉丁文字
bark,subclass of,帆船
叙利亚,part of,黎凡特
杜布赞斯基,occupation,昆虫学家
MO,sister city,长野县
北港,instance of,城市
芳族,instance of,族群
Sandy,writing system,拉丁文字
子牙河,country,中华人民共和国
紫花针茅,parent taxon,针茅属
赤坂,country,日本
MO,shares border with,伊利诺伊州
钵水母纲,taxon rank,纲
北港,country,美国
Sandy,family name identical to this given name,Sandy
